<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20210826,000000,6574.0000000,6634.0000000,6380.0000000,6422.0000000,9319
AKRN,D,20210827,000000,6412.0000000,6576.0000000,6330.0000000,6534.0000000,5323
AKRN,D,20210830,000000,6570.0000000,6800.0000000,6404.0000000,6466.0000000,8454
AKRN,D,20210831,000000,6496.0000000,6610.0000000,6472.0000000,6562.0000000,2894
AKRN,D,20210901,000000,6558.0000000,6650.0000000,6512.0000000,6536.0000000,1854
AKRN,D,20210902,000000,6528.0000000,6800.0000000,6462.0000000,6688.0000000,3414
AKRN,D,20210903,000000,6654.0000000,6800.0000000,6648.0000000,6780.0000000,2047
AKRN,D,20210906,000000,6812.0000000,6972.0000000,6644.0000000,6942.0000000,15069
AKRN,D,20210907,000000,7000.0000000,7280.0000000,6216.0000000,6460.0000000,40907
AKRN,D,20210908,000000,6456.0000000,6778.0000000,6310.0000000,6702.0000000,13200
AKRN,D,20210909,000000,6740.0000000,6740.0000000,6524.0000000,6524.0000000,3628
AKRN,D,20210910,000000,6500.0000000,6694.0000000,6450.0000000,6658.0000000,4717
AKRN,D,20210913,000000,6670.0000000,6848.0000000,6630.0000000,6740.0000000,5038
AKRN,D,20210914,000000,7100.0000000,7532.0000000,6672.0000000,6828.0000000,9411
AKRN,D,20210915,000000,6848.0000000,6950.0000000,6806.0000000,6806.0000000,3190
AKRN,D,20210916,000000,6810.0000000,6880.0000000,6672.0000000,6730.0000000,3626
AKRN,D,20210917,000000,6724.0000000,6810.0000000,6652.0000000,6678.0000000,2861
AKRN,D,20210920,000000,6620.0000000,6670.0000000,6410.0000000,6410.0000000,5830
AKRN,D,20210921,000000,6430.0000000,7198.0000000,6364.0000000,7020.0000000,23500
AKRN,D,20210922,000000,7100.0000000,7288.0000000,6828.0000000,7018.0000000,17607
AKRN,D,20210923,000000,7054.0000000,7230.0000000,7010.0000000,7132.0000000,12498
AKRN,D,20210924,000000,7134.0000000,7218.0000000,7050.0000000,7074.0000000,2735
AKRN,D,20210927,000000,7174.0000000,7276.0000000,7064.0000000,7064.0000000,8600
AKRN,D,20210928,000000,7166.0000000,7216.0000000,6910.0000000,6970.0000000,9056
AKRN,D,20210929,000000,6902.0000000,7146.0000000,6806.0000000,6850.0000000,7306
AKRN,D,20210930,000000,6818.0000000,7090.0000000,6624.0000000,7000.0000000,9146
AKRN,D,20211001,000000,7020.0000000,7176.0000000,7000.0000000,7168.0000000,5505
AKRN,D,20211004,000000,7170.0000000,7466.0000000,7154.0000000,7440.0000000,9608
AKRN,D,20211005,000000,7456.0000000,7474.0000000,7244.0000000,7370.0000000,6063
AKRN,D,20211006,000000,7394.0000000,7780.0000000,7356.0000000,7686.0000000,13610
AKRN,D,20211007,000000,7730.0000000,8330.0000000,7442.0000000,8170.0000000,25878
AKRN,D,20211008,000000,8210.0000000,9144.0000000,8200.0000000,8418.0000000,44330
AKRN,D,20211011,000000,8530.0000000,8846.0000000,8462.0000000,8718.0000000,14796
AKRN,D,20211012,000000,8742.0000000,8960.0000000,8452.0000000,8506.0000000,15170
AKRN,D,20211013,000000,8548.0000000,8838.0000000,8264.0000000,8570.0000000,12802
AKRN,D,20211014,000000,8670.0000000,8694.0000000,8538.0000000,8644.0000000,4098
AKRN,D,20211015,000000,8680.0000000,8900.0000000,8488.0000000,8636.0000000,10564
AKRN,D,20211018,000000,8694.0000000,9150.0000000,8526.0000000,8850.0000000,17012
AKRN,D,20211019,000000,8890.0000000,9286.0000000,8850.0000000,9146.0000000,15192
AKRN,D,20211020,000000,9152.0000000,9200.0000000,8850.0000000,8912.0000000,7782
AKRN,D,20211021,000000,8960.0000000,9114.0000000,8808.0000000,8838.0000000,5075
AKRN,D,20211022,000000,8900.0000000,8998.0000000,8620.0000000,8620.0000000,6202
AKRN,D,20211025,000000,8652.0000000,8950.0000000,8568.0000000,8918.0000000,7050
AKRN,D,20211026,000000,8940.0000000,9148.0000000,8900.0000000,9026.0000000,4767
AKRN,D,20211027,000000,8954.0000000,9088.0000000,8612.0000000,8780.0000000,5005
AKRN,D,20211028,000000,8806.0000000,8994.0000000,8614.0000000,8926.0000000,5555
